coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
35.0,50.0,0,,
51.8582815978,39.2390362156,19.99999999999726,35.0,50.0
64.501127498,30.9606252287,35.11203629310583,51.8582815978,39.2390362156
71.0566257363,26.7927673125,42.88027912929378,64.501127498,30.9606252287
83.0772206284,18.6761192918,57.38457768702879,71.0566257363,26.7927673125
98.3430231516,8.3384690655,75.82127313059078,83.0772206284,18.6761192918
94.7697243876,9.0089216494,72.5559109974577,83.0772206284,18.6761192918
96.4988193001,7.8906358057,74.60276472670039,83.0772206284,18.6761192918
95.7156819336,9.9782885892,72.72677319791082,83.0772206284,18.6761192918
106.505240212,2.1282745405,86.06983463102195,95.7156819336,9.9782885892
119.7251023576,-8.465591157,103.01075389667382,106.505240212,2.1282745405
77.9552210523,21.7108124592,51.439058974497016,64.501127498,30.9606252287
89.8542399321,12.8758157857,66.25944414231883,77.9552210523,21.7108124592
89.6248282665,14.1552780403,65.34106720672344,77.9552210523,21.7108124592
101.1665681983,5.5259978457,79.75204348628974,89.6248282665,14.1552780403
116.6809338299,-3.0548550296,97.48130114188591,101.1665681983,5.5259978457
115.1491738397,-5.0837940246,97.30427821734307,101.1665681983,5.5259978457
68.5087128787,28.893517807,39.60271953027302,51.8582815978,39.2390362156
79.3690711804,21.9769821511,52.47850486246306,68.5087128787,28.893517807
91.4255202382,14.347444004,66.74622423948266,79.3690711804,21.9769821511
103.0604825939,8.1063104179,79.94940936497801,91.4255202382,14.347444004
116.1211037821,0.7405205612,94.94389788692243,103.0604825939,8.1063104179
100.0489594918,9.9386191934,76.43133863070652,91.4255202382,14.347444004
107.430531804,5.9634527929,84.81419877591573,91.4255202382,14.347444004
97.6736271451,10.0209016947,74.34608004562888,91.4255202382,14.347444004
113.1179047973,-0.0149130073,92.76463832067103,97.6736271451,10.0209016947
110.8460922566,2.250445506,89.63966780305816,97.6736271451,10.0209016947
118.4241520575,-3.605889114,99.21691404231854,110.8460922566,2.250445506
118.8435546355,-2.9542749247,99.18160257875573,110.8460922566,2.250445506
82.8380963414,20.2474254704,56.338493880870416,68.5087128787,28.893517807
19.1245998232,38.3062531917,19.717303192631793,35.0,50.0
4.6681722806,27.2541218419,37.91449815965009,19.1245998232,38.3062531917
-8.6443084365,17.0929607264,54.66177668657226,4.6681722806,27.2541218419
0.8185879156,23.5500412948,43.256736686958384,4.6681722806,27.2541218419
-11.3337119414,13.1186065828,59.27214245656537,0.8185879156,23.5500412948
-12.1339628282,12.2568642123,60.44116043020381,0.8185879156,23.5500412948
-2.7266300906,21.2438264479,47.443755886894266,4.6681722806,27.2541218419
-14.2365913987,11.1209756699,62.77187766314638,-2.7266300906,21.2438264479
-12.5512813295,12.6718523281,60.482257038351065,-2.7266300906,21.2438264479
-14.8362580745,11.7103167359,62.855793303707536,-2.7266300906,21.2438264479
-11.4668978972,14.3160988461,58.59658920654134,-2.7266300906,21.2438264479
-4.6723598913,20.7323102705,49.30658170161667,4.6681722806,27.2541218419
-14.7040494194,14.1126399341,61.325518016898705,-4.6723598913,20.7323102705
-18.4633554526,10.9012703772,66.24295982550882,-4.6723598913,20.7323102705
-18.8728578884,10.0926602964,67.05077215756612,-4.6723598913,20.7323102705
7.8500142491,28.0834335889,34.93644641750144,19.1245998232,38.3062531917
-6.446428325,16.2896801951,53.46968384079875,7.8500142491,28.0834335889
-4.0716576778,17.5822823877,50.8235618914665,7.8500142491,28.0834335889
-15.7583485278,7.6105472361,66.18631701407159,-4.0716576778,17.5822823877
-16.0128304446,6.804059789,66.90963317794578,-4.0716576778,17.5822823877
9.2763190823,29.3180556976,33.05058214960736,19.1245998232,38.3062531917
39.9094286481,41.7080544308,9.636329745985268,35.0,50.0
