coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
35.0,50.0,0,,
18.722972251,61.6214615112,19.999999999950475,35.0,50.0
12.4411339913,66.4340502545,27.913438085458477,18.722972251,61.6214615112
5.4132126674,70.6461464919,36.080878059748834,18.722972251,61.6214615112
-6.61287609,79.7166722653,51.14411969648747,5.4132126674,70.6461464919
-17.5415554405,87.5291096986,64.57803986132663,-6.61287609,79.7166722653
22.1802281262,34.648991919,19.999999999980023,35.0,50.0
9.7422470416,20.4183236564,38.900140016949166,22.1802281262,34.648991919
-0.6527576692,8.8970854492,54.417712403266535,9.7422470416,20.4183236564
-13.923096839,-4.4008368312,73.20432036364849,-0.6527576692,8.8970854492
-9.8248838855,-0.3814180958,67.46449466412746,-0.6527576692,8.8970854492
-14.5109403126,-4.5041422711,73.6957343606451,-0.6527576692,8.8970854492
-13.7086520486,-5.472869084,73.83296340170288,-0.6527576692,8.8970854492
-0.4550074961,6.5352601889,56.1258025977986,9.7422470416,20.4183236564
-3.5139079926,2.3513057208,61.30869245179144,-0.4550074961,6.5352601889
-13.2985231232,-10.9253381179,77.80135642319573,-3.5139079926,2.3513057208
54.781141181,47.0493299784,19.999999999975575,35.0,50.0
29.3387293223,64.9581436333,15.99362518757455,35.0,50.0
22.5280354921,80.726302604,33.16978272568508,29.3387293223,64.9581436333
19.8718156426,41.2537928458,17.474498606130627,35.0,50.0
3.9993669609,32.0467830933,35.823985131257984,19.8718156426,41.2537928458
1.517665177,30.7404502192,38.62850814278183,3.9993669609,32.0467830933
-0.4203231132,29.3007877859,41.02726780466339,3.9993669609,32.0467830933
-14.8219997618,21.2903840017,57.50679628932448,-0.4203231132,29.3007877859
-14.1177221879,21.0844211082,56.99997649148327,-0.4203231132,29.3007877859
22.5388582876,39.561235468,16.255702314297476,35.0,50.0
14.2554229047,30.5202821689,28.517600140457457,22.5388582876,39.561235468
6.687661946,22.0006563308,39.9129952783737,14.2554229047,30.5202821689
