coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
35.0,50.0,0,,
40.0974802182,30.6605146029,19.999999999989612,35.0,50.0
43.2824741336,16.9257967583,34.099172334276076,40.0974802182,30.6605146029
47.7785270283,0.1706214756,51.44709412294982,43.2824741336,16.9257967583
48.7934267122,-4.46278338,56.19034848301507,47.7785270283,0.1706214756
48.5551463651,-1.3669966998,53.13669751381392,43.2824741336,16.9257967583
53.4742280944,-19.6148349404,72.03592939012668,48.5551463651,-1.3669966998
53.1770870386,-16.9920292152,69.43099027835761,48.5551463651,-1.3669966998
41.5605892369,22.8983402794,27.89886309723367,40.0974802182,30.6605146029
44.4971090025,7.9781530084,43.10528070742279,41.5605892369,22.8983402794
47.0459838402,-4.9480284763,56.28036821049697,44.4971090025,7.9781530084
45.3063425757,2.260245487,48.88016818678347,44.4971090025,7.9781530084
47.5906106451,-12.9897259364,64.30026899797784,45.3063425757,2.260245487
44.7645890511,8.0529899675,43.086030071110756,41.5605892369,22.8983402794
44.321457421,11.964921768,39.166824850708586,40.0974802182,30.6605146029
48.2228176381,-3.3799520537,54.9998840670276,44.321457421,11.964921768
49.2678250161,-7.7630154807,59.5058007801038,48.2228176381,-3.3799520537
51.2046731954,-16.4325205816,68.38872299130055,48.2228176381,-3.3799520537
41.7233270244,18.5329916259,32.23602024330785,40.0974802182,30.6605146029
30.0672083244,35.1829354387,15.61658848560085,35.0,50.0
25.5299338861,17.6195059446,33.75662472929872,30.0672083244,35.1829354387
21.5784103723,4.3058501962,47.64431595091719,25.5299338861,17.6195059446
19.632902189,1.307955215,51.101412708427105,25.5299338861,17.6195059446
15.2510567499,-9.5341545277,62.79551007098193,19.632902189,1.307955215
13.1510094456,-16.9190087375,70.44662267013794,19.632902189,1.307955215
21.3270424745,1.5013543784,50.41372850302531,25.5299338861,17.6195059446
17.0291302138,-13.7212637105,66.23144487680003,21.3270424745,1.5013543784
18.0025475672,-10.159261312,62.53900065122332,21.3270424745,1.5013543784
24.9301481458,14.0604988047,37.36581781863689,25.5299338861,17.6195059446
24.3134391774,13.8697546074,37.69876811420094,25.5299338861,17.6195059446
25.8493099856,22.676103843,28.815509008115242,30.0672083244,35.1829354387
22.2270635839,11.0778020312,40.96628157253401,25.8493099856,22.676103843
16.9132413491,-1.6856004448,54.79166220047398,22.2270635839,11.0778020312
13.9499235407,-11.8977515654,65.4250663093919,16.9132413491,-1.6856004448
14.075419555,-7.0835237945,60.89008896680523,16.9132413491,-1.6856004448
14.768347722,-8.8337602806,62.2546882428859,16.9132413491,-1.6856004448
13.1451020186,-10.0427835733,63.95907098689482,16.9132413491,-1.6856004448
17.3858028258,-7.3224886432,59.99280260582673,22.2270635839,11.0778020312
14.1836975047,-16.1154789797,69.35069539989097,17.3858028258,-7.3224886432
16.5793371365,-10.8752392756,63.63593641671493,17.3858028258,-7.3224886432
14.0342208852,-17.9822233944,71.16701606675977,17.3858028258,-7.3224886432
14.1642624876,-19.3795071996,72.47278732617089,17.3858028258,-7.3224886432
12.762085199,-19.9575133587,73.44726707876941,17.3858028258,-7.3224886432
24.7077694845,22.6034219476,29.290203382598477,30.0672083244,35.1829354387
22.1460399771,15.4701370348,36.86953130242514,24.7077694845,22.6034219476
52.5514554987,46.8803318951,17.826550962190552,35.0,50.0
59.8193334354,44.7533039907,25.3992847756074,52.5514554987,46.8803318951
62.1048042771,44.6375297812,27.639635808653004,52.5514554987,46.8803318951
